group,rel_path,role,label,cpu_score,cpu_threshold,cpu_pred,group_score,group_threshold,group_pred,score_diff
gpu_retrain,test/defect/test_anomaly__test__defect__2_89.bmp,test_anomaly,1,0.6003476977348328,0.5757039785385132,1,0.34184613823890686,0.42649710178375244,0,-0.2585015594959259
gpu_no_retrain,test/defect/test_anomaly__test__defect__2_89.bmp,test_anomaly,1,0.6003476977348328,0.5757039785385132,1,0.5496236085891724,0.5823673605918884,0,-0.0507240891456604
gpu_retrain,test/defect/test_anomaly__test__defect__2_106.bmp,test_anomaly,1,0.6104360818862915,0.5757039785385132,1,0.38865214586257935,0.42649710178375244,0,-0.22178393602371216
gpu_no_retrain,test/defect/test_anomaly__test__defect__2_107.bmp,test_anomaly,1,0.5845248699188232,0.5757039785385132,1,0.5584018230438232,0.5823673605918884,0,-0.026123046875
gpu_retrain,test/defect/test_anomaly__test__defect__2_107.bmp,test_anomaly,1,0.5845248699188232,0.5757039785385132,1,0.4215663969516754,0.42649710178375244,0,-0.16295847296714783
gpu_no_retrain,test/defect/test_anomaly__test__defect__2_120.bmp,test_anomaly,1,0.6216857433319092,0.5757039785385132,1,0.5822373032569885,0.5823673605918884,0,-0.039448440074920654
gpu_retrain,test/defect/test_anomaly__test__defect__2_120.bmp,test_anomaly,1,0.6216857433319092,0.5757039785385132,1,0.4025045931339264,0.42649710178375244,0,-0.2191811501979828
gpu_retrain,test/defect/test_anomaly__test__defect__2_140.bmp,test_anomaly,1,0.6173124313354492,0.5757039785385132,1,0.3859654366970062,0.42649710178375244,0,-0.231346994638443
gpu_retrain,test/defect/test_anomaly__test__defect__3_55.bmp,test_anomaly,1,0.6416382789611816,0.5757039785385132,1,0.42369717359542847,0.42649710178375244,0,-0.21794110536575317
gpu_retrain,test/defect/test_anomaly__test__defect__3_58.bmp,test_anomaly,1,0.6578006148338318,0.5757039785385132,1,0.38203176856040955,0.42649710178375244,0,-0.27576884627342224
gpu_retrain,test/defect/test_anomaly__test__defect__3_94.bmp,test_anomaly,1,0.6192850470542908,0.5757039785385132,1,0.36235225200653076,0.42649710178375244,0,-0.25693279504776
gpu_retrain,test/defect/test_anomaly__test__defect__3_98.bmp,test_anomaly,1,0.5908397436141968,0.5757039785385132,1,0.3941836655139923,0.42649710178375244,0,-0.19665607810020447
gpu_retrain,test/defect/test_anomaly__test__defect__3_119.bmp,test_anomaly,1,0.704157829284668,0.5757039785385132,1,0.4225351810455322,0.42649710178375244,0,-0.28162264823913574
gpu_retrain,test/defect/test_anomaly__test__defect__4_48.bmp,test_anomaly,1,0.6398378014564514,0.5757039785385132,1,0.4056324362754822,0.42649710178375244,0,-0.23420536518096924
gpu_retrain,test/defect/test_anomaly__test__defect__4_64.bmp,test_anomaly,1,0.719247579574585,0.5757039785385132,1,0.35088568925857544,0.42649710178375244,0,-0.3683618903160095
gpu_no_retrain,test/defect/test_anomaly__test__defect__4_74.bmp,test_anomaly,1,0.5849000215530396,0.5757039785385132,1,0.5664283633232117,0.5823673605918884,0,-0.01847165822982788
gpu_retrain,test/defect/test_anomaly__test__defect__4_74.bmp,test_anomaly,1,0.5849000215530396,0.5757039785385132,1,0.3936997056007385,0.42649710178375244,0,-0.19120031595230103
gpu_retrain,test/defect/test_anomaly__test__defect__4_79.bmp,test_anomaly,1,0.6500927209854126,0.5757039785385132,1,0.38872963190078735,0.42649710178375244,0,-0.26136308908462524
gpu_retrain,test/defect/test_anomaly__test__defect__4_106.bmp,test_anomaly,1,0.7137318849563599,0.5757039785385132,1,0.4249144494533539,0.42649710178375244,0,-0.288817435503006
gpu_retrain,test/defect/test_anomaly__test__defect__4_115.bmp,test_anomaly,1,0.6068422198295593,0.5757039785385132,1,0.41044288873672485,0.42649710178375244,0,-0.19639933109283447
gpu_retrain,test/defect/test_anomaly__test__defect__4_117.bmp,test_anomaly,1,0.6506391763687134,0.5757039785385132,1,0.4161376953125,0.42649710178375244,0,-0.23450148105621338
gpu_retrain,test/defect/test_anomaly__test__defect__4_127.bmp,test_anomaly,1,0.5947378873825073,0.5757039785385132,1,0.3620844781398773,0.42649710178375244,0,-0.23265340924263
gpu_no_retrain,test/defect/test_anomaly__test__defect__4_127.bmp,test_anomaly,1,0.5947378873825073,0.5757039785385132,1,0.5772533416748047,0.5823673605918884,0,-0.017484545707702637
