image_path,label,bridge_score,bridge_threshold,bridge_pred,bridge_margin,yolo_score,yolo_threshold,yolo_pred,yolo_margin,error_type
/gdata1/huangjd/data/yolo_qm_xiepai_6_1_cls_val_threshold_20260529/S6/test/good/test_normal__test__good__2_103.bmp,0,0.39805285798855977,2.17605756975357,0,-1.77800471176501,0.6772644519805908,0.022553298622369766,1,0.654711153358221,yolo_fp_but_bridge_tn
/gdata1/huangjd/data/yolo_qm_xiepai_6_1_cls_val_threshold_20260529/S6/test/good/test_normal__test__good__2_115.bmp,0,2.2018842375522247,2.17605756975357,1,0.025826667798654945,0.004020984284579754,0.022553298622369766,0,-0.018532314337790012,bridge_fp_but_yolo_tn
/gdata1/huangjd/data/yolo_qm_xiepai_6_1_cls_val_threshold_20260529/S6/test/good/test_normal__test__good__2_805.bmp,0,-0.11666127569700677,2.17605756975357,0,-2.2927188454505765,0.0319695770740509,0.022553298622369766,1,0.009416278451681137,yolo_fp_but_bridge_tn
/gdata1/huangjd/data/yolo_qm_xiepai_6_1_cls_val_threshold_20260529/S6/test/good/test_normal__test__good__3_102.bmp,0,0.2722388432889129,2.17605756975357,0,-1.9038187264646569,0.030964236706495285,0.022553298622369766,1,0.008410938084125519,yolo_fp_but_bridge_tn
/gdata1/huangjd/data/yolo_qm_xiepai_6_1_cls_val_threshold_20260529/S6/test/good/test_normal__test__good__3_115.bmp,0,5.485740512730082,2.17605756975357,1,3.3096829429765124,0.0033222700003534555,0.022553298622369766,0,-0.01923102862201631,bridge_fp_but_yolo_tn
/gdata1/huangjd/data/yolo_qm_xiepai_6_1_cls_val_threshold_20260529/S6/test/good/test_normal__test__good__4_107.bmp,0,5.200879013215555,2.17605756975357,1,3.0248214434619856,0.7800247073173523,0.022553298622369766,1,0.7574714086949825,common_fp
/gdata1/huangjd/data/yolo_qm_xiepai_6_1_cls_val_threshold_20260529/S6/test/good/test_normal__test__good__4_116.bmp,0,4.196488698376782,2.17605756975357,1,2.020431128623212,0.2858246862888336,0.022553298622369766,1,0.26327138766646385,common_fp
/gdata1/huangjd/data/yolo_qm_xiepai_6_1_cls_val_threshold_20260529/S6/test/good/test_normal__test__good__4_70.bmp,0,2.8794927591042394,2.17605756975357,1,0.7034351893506696,0.031484413892030716,0.022553298622369766,1,0.00893111526966095,common_fp
/gdata1/huangjd/data/yolo_qm_xiepai_6_1_cls_val_threshold_20260529/S6/test/good/test_normal__test__good__4_78.bmp,0,-0.11854362690611413,2.17605756975357,0,-2.2946011966596838,0.031197823584079742,0.022553298622369766,1,0.008644524961709976,yolo_fp_but_bridge_tn
/gdata1/huangjd/data/yolo_qm_xiepai_6_1_cls_val_threshold_20260529/S6/test/good/test_normal__test__good__4_85.bmp,0,3.158837596210618,2.17605756975357,1,0.9827800264570481,0.0005198272992856801,0.022553298622369766,0,-0.022033471323084086,bridge_fp_but_yolo_tn
/gdata1/huangjd/data/yolo_qm_xiepai_6_1_cls_val_threshold_20260529/S6/test/good/test_normal__test__good__4_87.bmp,0,2.811449740088803,2.17605756975357,1,0.6353921703352334,0.0015708653954789042,0.022553298622369766,0,-0.020982433226890862,bridge_fp_but_yolo_tn
/gdata1/huangjd/data/yolo_qm_xiepai_6_1_cls_val_threshold_20260529/S6/test/good/test_normal__val__good__2_773.bmp,0,-0.7845408780751307,2.17605756975357,0,-2.9605984478287004,0.03902855142951012,0.022553298622369766,1,0.01647525280714035,yolo_fp_but_bridge_tn
/gdata1/huangjd/data/yolo_qm_xiepai_6_1_cls_val_threshold_20260529/S6/test/good/test_normal__val__good__2_87.bmp,0,-0.299128946680262,2.17605756975357,0,-2.4751865164338316,0.13923469185829163,0.022553298622369766,1,0.11668139323592186,yolo_fp_but_bridge_tn
/gdata1/huangjd/data/yolo_qm_xiepai_6_1_cls_val_threshold_20260529/S6/test/good/test_normal__val__good__3_103.bmp,0,0.353900969155164,2.17605756975357,0,-1.8221566005984058,0.16456985473632812,0.022553298622369766,1,0.14201655611395836,yolo_fp_but_bridge_tn
/gdata1/huangjd/data/yolo_qm_xiepai_6_1_cls_val_threshold_20260529/S6/test/good/test_normal__val__good__3_120.bmp,0,-0.06447937872259898,2.17605756975357,0,-2.240536948476169,0.05256566405296326,0.022553298622369766,1,0.03001236543059349,yolo_fp_but_bridge_tn
/gdata1/huangjd/data/yolo_qm_xiepai_6_1_cls_val_threshold_20260529/S6/test/good/test_normal__val__good__3_73.bmp,0,-0.3772134504987489,2.17605756975357,0,-2.5532710202523186,0.09771082550287247,0.022553298622369766,1,0.0751575268805027,yolo_fp_but_bridge_tn
/gdata1/huangjd/data/yolo_qm_xiepai_6_1_cls_val_threshold_20260529/S6/test/good/test_normal__val__good__3_77.bmp,0,3.6324405388434453,2.17605756975357,1,1.4563829690898755,0.00687935808673501,0.022553298622369766,0,-0.015673940535634756,bridge_fp_but_yolo_tn
/gdata1/huangjd/data/yolo_qm_xiepai_6_1_cls_val_threshold_20260529/S6/test/good/test_normal__val__good__3_79.bmp,0,2.179668881027829,2.17605756975357,1,0.003611311274259066,0.0009871813235804439,0.022553298622369766,0,-0.021566117298789322,bridge_fp_but_yolo_tn
/gdata1/huangjd/data/yolo_qm_xiepai_6_1_cls_val_threshold_20260529/S6/test/good/test_normal__val__good__4_124.bmp,0,-0.2794185341396812,2.17605756975357,0,-2.455476103893251,0.025122905150055885,0.022553298622369766,1,0.002569606527686119,yolo_fp_but_bridge_tn
/gdata1/huangjd/data/yolo_qm_xiepai_6_1_cls_val_threshold_20260529/S6/test/good/test_normal__val__good__4_54.bmp,0,0.4945995518311975,2.17605756975357,0,-1.6814580179223722,0.35137438774108887,0.022553298622369766,1,0.3288210891187191,yolo_fp_but_bridge_tn
/gdata1/huangjd/data/yolo_qm_xiepai_6_1_cls_val_threshold_20260529/S6/test/good/test_normal__val__good__4_58.bmp,0,-0.17656121480643827,2.17605756975357,0,-2.352618784560008,0.022733716294169426,0.022553298622369766,1,0.00018041767179965973,yolo_fp_but_bridge_tn
